date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365
2025-01-06,2025,66,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293841,Hard,Ivan Gakhov,Max Hans Rehberg,0.35087273,-43,0.3119266055045871,0.038946124495412904,2,2,3.0,1.36,0,bet365_via_sofascore,latest_pre_match_assumed,0.36642486,0.0544982544954129,0.23844597518737262,-0.0734806303172145
2025-01-06,2025,67,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304345,Hard,Bernabe Zapata Miralles,Alexey Zakharov,0.5367921,52,0.391304347826087,0.14548775217391302,1,1,2.38,1.53,1,bet365_via_sofascore,latest_pre_match_assumed,0.75870293,0.367398582173913,0.35140528165430945,-0.03989906617177752
2025-01-06,2025,68,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293844,Hard,Duarte Vale,Zsombor Piros,0.22348343,-246,0.2077464788732394,0.0157369511267606,2,2,4.5,1.18,0,bet365_via_sofascore,latest_pre_match_assumed,0.35214353,0.14439705112676057,0.1370902833183625,-0.0706561955548769
2025-01-06,2025,69,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293838,Hard,Ergi Kirkin,Antoine Cornut Chauvinc,0.541466,323,0.3538083538083538,0.1876576461916462,2,2,2.63,1.44,0,bet365_via_sofascore,latest_pre_match_assumed,0.4907039,0.13689554619164623,0.3672763899115355,0.013468036103181702
2025-01-06,2025,70,2025-2831,Oeiras 1 CH,2025-01-06,QF,13293847,Hard,Zsombor Piros,Hamad Medjedovic,0.41575083,-136,0.2903930131004367,0.12535781689956332,3,3,3.25,1.33,0,bet365_via_sofascore,latest_pre_match_assumed,0.33997497,0.049581956899563295,0.27289578419104193,-0.017497228909394758
2025-01-06,2025,71,2025-2831,Oeiras 1 CH,2025-01-06,QF,13293846,Hard,Rudolf Molleker,Antoine Cornut Chauvinc,0.6072339,326,0.4638069705093834,0.14342692949061658,3,3,2.0,1.73,1,bet365_via_sofascore,latest_pre_match_assumed,0.35279718,-0.11100979050938342,0.4485224571108162,-0.015284513398567234
2025-01-06,2025,72,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299883,Hard,Rudolf Molleker,Pol Martin Tiffon,0.4903025,-31,0.5361930294906166,-0.04589052949061667,0,0,1.73,2.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.521732,-0.014461029490616673,0.6146021838798718,0.07840915438925511
2025-01-06,2025,73,2025-2831,Oeiras 1 CH,2025-01-06,SF,13293852,Hard,Rudolf Molleker,Liam Draxl,0.34707198,-37,0.3373493975903614,0.00972258240963858,4,4,2.75,1.4,0,bet365_via_sofascore,latest_pre_match_assumed,0.2292792,-0.10807019759036143,0.3120303807670395,-0.025319016823321938
2025-01-06,2025,74,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299882,Hard,Beibit Zhukayev,Micah Braswell,0.5314433,220,0.557029177718833,-0.025585877718833028,1,1,1.67,2.1,0,bet365_via_sofascore,latest_pre_match_assumed,0.4986984,-0.05833077771883299,0.5089726398885901,-0.048056537830242885
2025-01-06,2025,75,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299864,Hard,Cezar Cretu,Trey Hilderbrand,0.6586117,417,0.5,0.15861170000000002,1,1,1.8333333333333337,1.8333333333333337,0,bet365_via_sofascore,latest_pre_match_assumed,0.5354573,0.035457300000000025,0.49642641790440967,-0.003573582095590333
2025-01-06,2025,76,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299876,Hard,Matias Soto,Max Hans Rehberg,0.40515125,24,0.391304347826087,0.013846902173913045,1,1,2.38,1.53,0,bet365_via_sofascore,latest_pre_match_assumed,0.28033558,-0.110968767826087,0.49658181604082263,0.10527746821473566
