date,player_a,player_b,surface,predicted_prob_a,betfair_true_prob_a,clv_betfair,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-03-18,Camilo Ugo Carabelli,Sebastian Korda,Hard,0.27219513,0.1377245508982036,0.1344705791017964,,,0.14698162729658795,0.12521350270341206,0
2026-03-18,Carlos Alcaraz,Joao Fonseca,Hard,0.9136568,0.8542713567839196,0.059385443216080414,,,0.8379888268156425,0.07566797318435758,1
2026-03-18,Casper Ruud,Ethan Quinn,Hard,0.79675984,0.6323185011709602,0.16444133882903977,,,0.6470588235294118,0.1497010164705882,0
2026-03-18,Corentin Moutet,Tomas Machac,Hard,0.3937661,0.40291262135922323,-0.009146521359223225,,,0.405,-0.011233900000000019,1
2026-03-18,Damir Dzumhur,Ignacio Buse,Hard,0.3702074,0.3439635535307517,0.026243846469248322,,,0.35714285714285715,0.013064542857142869,1
2026-03-18,Damir Dzumhur,Jannik Sinner,Hard,0.059137326,0.00999900999901,0.04913831600099,,,0.017716190142080337,0.041421135857919664,0
2026-03-18,Daniel Altmaier,Terence Atmane,Hard,0.49205506,0.3252212389380531,0.16683382106194689,,,0.3201754385964912,0.17187962140350876,0
2026-03-18,Daniil Medvedev,Rei Sakamoto,Hard,0.8818221,0.9134233518665608,-0.03160125186656071,,,0.9246088193456614,-0.04278671934566136,1
2026-03-18,Emilio Nava,Tomas Machac,Hard,0.24317935,0.32372505543237257,-0.08054570543237258,,,0.3317972350230415,-0.08861788502304149,0
2026-03-18,Fabian Marozsan,Joao Fonseca,Hard,0.4618711,0.27991886409736305,0.18195223590263693,,,0.29978118161925604,0.16208991838074394,0
2026-03-18,Flavio Cobolli,Raphael Collignon,Hard,0.55573946,0.543640897755611,0.012098562244388988,,,0.518041237113402,0.037698222886597965,0
2026-03-18,Frances Tiafoe,Arthur Cazaux,Hard,0.6061395,0.7200811359026369,-0.11394163590263684,,,0.6956521739130435,-0.0895126739130434,1
2026-03-18,Grigor Dimitrov,Raphael Collignon,Hard,0.7044541,0.5888077858880778,0.11564631411192217,,,0.5876543209876544,0.11679977901234562,0
2026-03-18,Hubert Hurkacz,Ethan Quinn,Hard,0.71783346,0.5665024630541872,0.15133099694581287,,,0.5597964376590331,0.15803702234096695,0
2026-03-18,Jiri Lehecka,Moise Kouame,Hard,0.74626637,0.8344923504867873,-0.08822598048678731,,,0.8578431372549019,-0.11157676725490195,1
2026-03-18,Kamil Majchrzak,Learner Tien,Hard,0.32932377,0.24214417744916825,0.08717959255083177,,,0.25742574257425743,0.07189802742574258,1
2026-03-18,Kamil Majchrzak,Miomir Kecmanovic,Hard,0.5282449,0.37089201877934275,0.15735288122065727,,,0.36778846153846156,0.16045643846153845,1
2026-03-18,Luciano Darderi,Martin Landaluce,Hard,0.6893139,0.55,0.1393139,,,0.5435897435897437,0.14572415641025638,0
2026-03-18,Marcos Giron,Martin Landaluce,Hard,0.6481255,0.6305882352941177,0.01753726470588235,,,0.6291866028708134,0.018938897129186616,0
2026-03-18,Marin Cilic,Alexei Popyrin,Hard,0.47428176,0.5749385749385749,-0.10065681493857492,,,0.581453634085213,-0.107171874085213,1
